name,sub_category_id,
内装品、シート,129,
ステアリング,129,
マフラー・排気系,129,
エンジン、過給機、冷却装置,129,
クラッチ、ミッション、駆動系,129,
電装品,129,
補強パーツ,129,
汎用パーツ,129,
外国自動車用パーツ,129,
その他,129,
車内アクセサリー,130,
カーナビ,130,
カーオディオ,130,
車外アクセサリー,130,
メンテナンス用品,130,
チャイルドシート,130,
ドライブレコーダー,130,
レーダー探知機,130,
カタログ/マニュアル,130,
セキュリティ,130,
ETC,130,
その他,130,
すべて,131,
タイヤ,132,
マフラー,132,
エンジン、冷却装置,132,
カウル、フェンダー、外装,132,
サスペンション,132,
ホイール,132,
シート,132,
ブレーキ,132,
タンク,132,
ライト、ウィンカー,132,
チェーン、スプロケット、駆動系,132,
メーター,132,
電装系,132,
ミラー,132,
外国オートバイ用パーツ,132,
その他,132,
ヘルメット/シールド,133,
バイクウェア/装備,133,
アクセサリー,133,
メンテナンス,133,
カタログ/マニュアル,133,
その他,133,
すべて,134,
ペットフード,135,
犬用品,135,
猫用品,135,
魚用品/水草,135,
小動物用品,135,
爬虫類/両生類用品,135,
かご/おり,135,
鳥用品,135,
虫類用品,135,
その他,135,
菓子,136,
米,136,
野菜,136,
果物,136,
調味料,136,
魚介類(加工食品),136,
肉類(加工食品),136,
その他　加工食品,136,
その他,136,
コーヒー,137,
ソフトドリンク,137,
ミネラルウォーター,137,
茶,137,
ウイスキー,137,
ワイン,137,
ブランデー,137,
焼酎,137,
日本酒,137,
ビール、発泡酒,137,
その他,137,
タオル/バス用品,138,
日用品/生活雑貨,138,
洗剤/柔軟剤,138,
旅行用品,138,
防災関連グッズ,138,
その他,138,
雑貨,139,
工芸品,139,
家具,139,
印刷物,139,
その他,139,
筆記具,140,
ノート/メモ帳,140,
テープ/マスキングテープ,140,
カレンダー/スケジュール,140,
アルバム/スクラップ,140,
ファイル/バインダー,140,
はさみ/カッター,140,
カードフォルダー/名刺管理,140,
のり/ホッチキス,140,
その他,140,
オフィス用品一般,141,
オフィス家具,141,
店舗用品,141,
OA機器,141,
ラッピング/包装,141,
その他,141,
すべて,142,
